                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.57669,                0.61781,                0.91604,                 0.9073,                0.91194,                0.97577,                0.81508,                 0.7592,                0.66322,                0.93932,             0.00023873,             0.00023873,             0.00023873
                     72,                0.52317,                0.53017,                0.91035,                0.95455,                0.93538,                  0.995,                0.83397,                0.78285,                 0.6378,                0.95161,             0.00023963,             0.00023963,             0.00023963
                     73,                0.57047,                0.49835,                0.86056,                0.95455,                0.93538,                  0.995,                0.83397,                0.78285,                 0.6378,                0.95161,             0.00024047,             0.00024047,             0.00024047
                     74,                0.52858,                0.51737,                0.90773,                0.96534,                0.91639,                  0.995,                0.82956,                0.78657,                0.62715,                0.95199,             0.00024123,             0.00024123,             0.00024123
                     75,                0.52514,                0.48248,                0.87459,                0.96534,                0.91639,                  0.995,                0.82956,                0.78657,                0.62715,                0.95199,             0.00024193,             0.00024193,             0.00024193
                     76,                0.52715,                0.45383,                 0.8883,                0.95936,                0.90553,                0.98218,                0.81629,                 0.7627,                0.60996,                0.93544,             0.00024255,             0.00024255,             0.00024255
                     77,                0.56172,                  0.533,                0.91336,                0.95936,                0.90553,                0.98218,                0.81629,                 0.7627,                0.60996,                0.93544,              0.0002431,              0.0002431,              0.0002431
                     78,                0.67077,                0.73813,                 1.0089,                0.96242,                0.91011,                0.98218,                 0.8305,                0.72642,                0.57469,                0.91618,             0.00024358,             0.00024358,             0.00024358
                     79,                0.50873,                 0.4843,                0.86845,                0.96242,                0.91011,                0.98218,                 0.8305,                0.72642,                0.57469,                0.91618,               0.000244,               0.000244,               0.000244
                     80,                0.48229,                0.47138,                0.88084,                0.96279,                0.92271,                0.98218,                0.84217,                  0.726,                0.57172,                 0.9143,             0.00024434,             0.00024434,             0.00024434
                     81,                0.58822,                0.60212,                   0.96,                0.96279,                0.92271,                0.98218,                0.84217,                  0.726,                0.57172,                 0.9143,             0.00024461,             0.00024461,             0.00024461
                     82,                0.57551,                 0.5524,                 0.9176,                0.96519,                0.94488,                  0.995,                0.85203,                0.73683,                0.60722,                 0.9226,             0.00024481,             0.00024481,             0.00024481
                     83,                0.53208,                0.47869,                0.84751,                0.96519,                0.94488,                  0.995,                0.85203,                0.73683,                0.60722,                 0.9226,             0.00024494,             0.00024494,             0.00024494
                     84,                0.54381,                0.54035,                0.90532,                0.90016,                0.92206,                0.94926,                 0.7968,                0.75829,                0.66665,                0.93858,               0.000245,               0.000245,               0.000245
                     85,                0.52797,                0.53936,                0.90767,                0.90016,                0.92206,                0.94926,                 0.7968,                0.75829,                0.66665,                0.93858,             0.00024498,             0.00024498,             0.00024498
                     86,                0.50658,                0.50534,                0.91925,                0.88297,                0.86585,                0.93284,                 0.7857,                0.74076,                0.69808,                 0.9369,              0.0002449,              0.0002449,              0.0002449
                     87,                0.53352,                0.46537,                  0.894,                0.88297,                0.86585,                0.93284,                 0.7857,                0.74076,                0.69808,                 0.9369,             0.00024475,             0.00024475,             0.00024475
                     88,                0.47024,                0.48847,                0.87229,                0.89556,                0.86169,                0.93612,                0.79999,                0.72607,                 0.6846,                0.93069,             0.00024453,             0.00024453,             0.00024453
                     89,                0.47785,                0.46933,                 0.8564,                0.89556,                0.86169,                0.93612,                0.79999,                0.72607,                 0.6846,                0.93069,             0.00024423,             0.00024423,             0.00024423
                     90,                0.53029,                0.47965,                0.84227,                0.82586,                0.96531,                0.93612,                 0.7952,                0.72527,                0.68275,                0.92737,             0.00024387,             0.00024387,             0.00024387
                     91,                0.48882,                 0.4716,                0.86964,                0.82586,                0.96531,                0.93612,                 0.7952,                0.72527,                0.68275,                0.92737,             0.00024343,             0.00024343,             0.00024343
                     92,                0.50915,                0.48762,                0.91628,                 0.8503,                0.96205,                0.93612,                0.79119,                0.72448,                0.66889,                0.92179,             0.00024293,             0.00024293,             0.00024293
                     93,                0.50604,                0.47675,                0.84474,                 0.8503,                0.96205,                0.93612,                0.79119,                0.72448,                0.66889,                0.92179,             0.00024235,             0.00024235,             0.00024235
                     94,                0.53859,                0.48556,                0.87324,                0.87725,                0.96396,                0.93934,                0.79531,                0.72367,                0.63372,                0.91662,              0.0002417,              0.0002417,              0.0002417
